epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6268,1.54297,3.15477,1.80073,0.23415,0.28345,0.16147,0.08681,1.85316,2.87288,2.28793,0.000472725,0.000472725,0.000472725
2,51.5982,1.74303,2.96839,1.97359,0.10788,0.15724,0.08823,0.04289,2.12425,4.43548,2.48962,0.00094436,0.00094436,0.00094436
3,76.2247,1.89856,3.03141,2.07662,0.12867,0.21073,0.0985,0.04365,2.23117,9.20354,2.78778,0.00141128,0.00141128,0.00141128
4,100.829,2.03451,3.09625,2.21274,0.07622,0.2387,0.07154,0.03033,2.05504,4.16286,2.46146,0.00140778,0.00140778,0.00140778
5,125.641,1.91476,2.98419,2.14975,0.11716,0.38765,0.11161,0.04476,1.87214,5.81982,2.29704,0.00140071,0.00140071,0.00140071
6,150.419,1.92886,2.87887,2.15767,0.15756,0.15406,0.10774,0.05351,1.85947,4.03625,2.24413,0.00139363,0.00139363,0.00139363
7,175.133,1.81195,2.68692,2.07103,0.23241,0.33631,0.22098,0.09819,1.93581,3.25911,2.22236,0.00138656,0.00138656,0.00138656
8,200.166,1.89441,2.71076,2.11309,0.16353,0.23719,0.12096,0.05775,2.0345,2.83357,2.31583,0.00137949,0.00137949,0.00137949
9,224.808,1.83734,2.73691,2.10685,0.26063,0.29384,0.20465,0.1061,1.83067,2.96066,2.17353,0.00137241,0.00137241,0.00137241
10,254.444,1.83952,2.67062,2.07657,0.25458,0.31383,0.21282,0.09326,1.86701,2.69768,2.214,0.00136534,0.00136534,0.00136534
11,280.134,1.8444,2.67364,2.08597,0.18749,0.25479,0.18045,0.08514,1.76936,3.44162,2.10751,0.00135826,0.00135826,0.00135826
12,306.165,1.81092,2.57987,2.02213,0.24653,0.35072,0.23408,0.12359,1.68293,2.59698,2.01045,0.00135119,0.00135119,0.00135119
13,331.945,1.71584,2.58431,1.98867,0.2896,0.347,0.24339,0.11732,1.71899,2.69493,2.02435,0.00134412,0.00134412,0.00134412
14,357.788,1.69172,2.539,1.96278,0.27848,0.18004,0.14189,0.07562,1.74071,3.7169,2.0551,0.00133704,0.00133704,0.00133704
15,383.519,1.68838,2.50611,1.9507,0.50441,0.30995,0.32934,0.18175,1.71558,2.33804,1.99905,0.00132997,0.00132997,0.00132997
16,409.056,1.67976,2.46012,1.9321,0.29098,0.3032,0.2578,0.14326,1.74613,2.58479,2.03542,0.0013229,0.0013229,0.0013229
17,434.632,1.67285,2.41538,1.94532,0.29785,0.35025,0.29577,0.16792,1.68769,2.27198,1.99597,0.00131582,0.00131582,0.00131582
18,460.227,1.65002,2.32839,1.94525,0.36064,0.39383,0.29971,0.16183,1.67077,2.438,2.01949,0.00130875,0.00130875,0.00130875
19,486.005,1.68846,2.43956,1.97903,0.30305,0.42368,0.27732,0.14623,1.6801,2.83886,2.01147,0.00130168,0.00130168,0.00130168
20,512.375,1.62591,2.41883,1.89906,0.34234,0.40557,0.3088,0.17105,1.69792,2.26942,1.99525,0.0012946,0.0012946,0.0012946
21,538.132,1.56334,2.26909,1.83621,0.53945,0.32078,0.34941,0.19557,1.70715,2.17399,1.99583,0.00128753,0.00128753,0.00128753
22,563.238,1.63133,2.27879,1.91495,0.37734,0.38088,0.33206,0.17818,1.58747,2.65869,1.93576,0.00128046,0.00128046,0.00128046
23,588.315,1.59586,2.53559,1.90794,0.30028,0.30487,0.23097,0.12617,1.73363,2.83032,2.071,0.00127338,0.00127338,0.00127338
24,613.151,1.58213,2.27207,1.90199,0.44325,0.28775,0.32272,0.18252,1.65995,2.34717,1.99256,0.00126631,0.00126631,0.00126631
25,638.074,1.52934,2.2146,1.83516,0.45583,0.43655,0.39212,0.21673,1.62991,2.03817,1.99383,0.00125923,0.00125923,0.00125923
26,663.102,1.5109,2.13534,1.82744,0.43369,0.4379,0.39666,0.22537,1.60104,2.05182,1.92929,0.00125216,0.00125216,0.00125216
27,688.219,1.57356,2.16331,1.86681,0.33291,0.31667,0.26026,0.13579,1.65059,3.07814,2.00146,0.00124509,0.00124509,0.00124509
28,713.355,1.53952,2.19669,1.83495,0.43189,0.37698,0.3375,0.17939,1.56003,2.26362,1.89031,0.00123801,0.00123801,0.00123801
29,738.314,1.47453,2.11078,1.77449,0.47183,0.43043,0.41262,0.22073,1.56527,2.0466,1.93255,0.00123094,0.00123094,0.00123094
30,763.134,1.47612,2.12493,1.81485,0.4676,0.44578,0.44026,0.23144,1.59828,1.98166,1.95315,0.00122387,0.00122387,0.00122387
31,788.958,1.43549,2.00423,1.74183,0.61219,0.33989,0.39246,0.21012,1.65976,2.20567,1.96341,0.00121679,0.00121679,0.00121679
32,814.995,1.44227,1.93673,1.75491,0.42126,0.44147,0.39189,0.23301,1.56136,2.06229,1.86609,0.00120972,0.00120972,0.00120972
33,840.975,1.45035,2.01843,1.76508,0.50767,0.42614,0.42842,0.23916,1.52142,2.00829,1.82159,0.00120265,0.00120265,0.00120265
34,866.754,1.38202,1.93418,1.70455,0.45868,0.39725,0.39792,0.23358,1.53258,2.14071,1.88589,0.00119557,0.00119557,0.00119557
35,892.637,1.46073,1.99738,1.76939,0.48508,0.4754,0.45355,0.24646,1.60132,2.06675,1.91501,0.0011885,0.0011885,0.0011885
36,925.662,1.40476,1.96038,1.71797,0.40912,0.50251,0.43993,0.25664,1.49992,2.08329,1.78517,0.00118143,0.00118143,0.00118143
